fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
4119,https://www2.assemblee-nationale.fr/sycomore/fiche/4119,Pierre Kédinger,27 mars 1921,Sierck-les-bains,Moselle,2 décembre 1994,Longeville-lès-metz,Moselle,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Moselle,,Union des démocrates pour la République,UDR,TRUE,,
4119,https://www2.assemblee-nationale.fr/sycomore/fiche/4119,Pierre Kédinger,27 mars 1921,Sierck-les-bains,Moselle,2 décembre 1994,Longeville-lès-metz,Moselle,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Moselle,,Union des démocrates pour la République,UDR,TRUE,,
4137,https://www2.assemblee-nationale.fr/sycomore/fiche/4137,Yves Le Coat de Kerveguen,21 février 1925,Paris,Seine,7 septembre 2007,,Lieu de décès inconnu,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Seine-et-Oise,,Union pour la nouvelle République,UNR,TRUE,,
4137,https://www2.assemblee-nationale.fr/sycomore/fiche/4137,Yves Le Coat de Kerveguen,21 février 1925,Paris,Seine,7 septembre 2007,,Lieu de décès inconnu,Cinquième République - Assemblée nationale,Ve législature,6 mai 1973,2 avril 1978,Val-d'Oise,,Républicains indépendants,,FALSE,,
4150,https://www2.assemblee-nationale.fr/sycomore/fiche/4150,Pierre Koenig,10 octobre 1898,Caen,Calvados,2 septembre 1970,Paris,Hauts,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Bas-Rhin,,Rassemblement du peuple français,RPF,TRUE,,
4150,https://www2.assemblee-nationale.fr/sycomore/fiche/4150,Pierre Koenig,10 octobre 1898,Caen,Calvados,2 septembre 1970,Paris,Hauts,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Bas-Rhin,,Républicains sociaux,RS,TRUE,,
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,,
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Paris,,Union démocratique pour la V° République,UD-Ve,TRUE,,
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,IVe législature,30 juin 1968,1 avril 1973,Paris,,Union des démocrates pour la République,UDR,TRUE,,
4155,https://www2.assemblee-nationale.fr/sycomore/fiche/4155,Pierre-Charles Krieg,18 janvier 1922,Lille,Nord,6 juin 1998,Paris,Paris,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Paris,,Union des démocrates pour la République,UDR,TRUE,,
