fiche_id,url,nom_complet,naissance_date,naissance_commune,naissance_dept,deces_date,deces_commune,deces_dept,chambre,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,est_gaulliste,suppleant_de,a_eu_suppleant
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Hérault,,Mouvement républicain populaire,,FALSE,,
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Hérault,,Mouvement républicain populaire,,FALSE,,
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Hérault,,Mouvement républicain populaire,,FALSE,,
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Hérault,,Mouvement républicain populaire,,FALSE,,
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Hérault,,Républicains populaires et centre démocratique,,FALSE,,
1993,https://www2.assemblee-nationale.fr/sycomore/fiche/1993,Paul Coste-Floret,9 avril 1911,Montpellier,Hérault,27 août 1979,Montpellier,Hérault,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,18 novembre 1962,2 avril 1967,Hérault,,Centre démocratique,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Chambre des députés,Troisième République - Chambre des députés,XIVe législature,22 avril 1928,31 mai 1932,Savoie,,Républicain radical et radical-socialiste,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Chambre des députés,Troisième République - Chambre des députés,XVe législature,1 mai 1932,31 mai 1936,Savoie,,Républicain radical et radical-socialiste,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Chambre des députés,Troisième République - Chambre des députés,XVIe législature,26 avril 1936,31 mai 1942,Savoie,,Républicain radical et radical-socialiste,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Savoie,,Radical et radical-socialiste,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Savoie,,Union républicaine et résistante,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Savoie,,Union républicaine et résistante,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Rhône,,Républicains progressistes,,FALSE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,8 décembre 1958,Rhône,,Républicains sociaux,RS,TRUE,,
1997,https://www2.assemblee-nationale.fr/sycomore/fiche/1997,"Pierre, Jules Cot",20 novembre 1895,Grenoble,Isère,21 août 1977,Coise-saint-jean-pied-gauthier,Savoie,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Paris,,Apparenté Communiste,,FALSE,,
1999,https://www2.assemblee-nationale.fr/sycomore/fiche/1999,"Lionel, Pierre, Alfred Cottet",25 mars 1921,Richelieu,Indre,15 août 2010,Feurs,Loire,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,21 mars 1956,Indre-et-Loire,,Union et fraternité française,,FALSE,,
2004,https://www2.assemblee-nationale.fr/sycomore/fiche/2004,"Raymond, Jean, Léon Couder",4 février 1908,Alençon,Orne,9 mars 1993,Neuilly-sur-seine,Hauts,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Orne,,Mouvement républicain populaire,,FALSE,,
2007,https://www2.assemblee-nationale.fr/sycomore/fiche/2007,Pierre Couderc,12 août 1919,Sainte-enimie,Lozère,22 mai 1985,Mende,Lozère,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Lozère,,Républicains indépendants,,FALSE,,
2007,https://www2.assemblee-nationale.fr/sycomore/fiche/2007,Pierre Couderc,12 août 1919,Sainte-enimie,Lozère,22 mai 1985,Mende,Lozère,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,5 mars 1967,30 mai 1968,Lozère,,Républicains indépendants,,FALSE,,
2007,https://www2.assemblee-nationale.fr/sycomore/fiche/2007,Pierre Couderc,12 août 1919,Sainte-enimie,Lozère,22 mai 1985,Mende,Lozère,Assemblée nationale,Cinquième République - Assemblée nationale,IVe législature,23 juin 1968,1 avril 1973,Lozère,,Républicains indépendants,,FALSE,,
2007,https://www2.assemblee-nationale.fr/sycomore/fiche/2007,Pierre Couderc,12 août 1919,Sainte-enimie,Lozère,22 mai 1985,Mende,Lozère,Assemblée nationale,Cinquième République - Assemblée nationale,Ve législature,2 avril 1973,2 avril 1978,Lozère,,Républicains indépendants,,FALSE,,
2007,https://www2.assemblee-nationale.fr/sycomore/fiche/2007,Pierre Couderc,12 août 1919,Sainte-enimie,Lozère,22 mai 1985,Mende,Lozère,Assemblée nationale,Cinquième République - Assemblée nationale,VIe législature,12 mars 1978,22 mai 1981,Lozère,,Union pour la démocratie française,,FALSE,,
2010,https://www2.assemblee-nationale.fr/sycomore/fiche/2010,Georges Coudray,2 juin 1902,Evran,Côtes,10 janvier 1998,Saint-malo,Ille,Assemblée nationale constituante,Gouvernement provisoire de la République française,Ire Assemblée nationale constituante,21 octobre 1945,10 juin 1946,Ille-et-Vilaine,,Mouvement républicain populaire,,FALSE,,
2010,https://www2.assemblee-nationale.fr/sycomore/fiche/2010,Georges Coudray,2 juin 1902,Evran,Côtes,10 janvier 1998,Saint-malo,Ille,Assemblée nationale constituante,Gouvernement provisoire de la République française,2e Assemblée nationale constituante,2 juin 1946,27 novembre 1946,Ille-et-Vilaine,,Mouvement républicain populaire,,FALSE,,
2010,https://www2.assemblee-nationale.fr/sycomore/fiche/2010,Georges Coudray,2 juin 1902,Evran,Côtes,10 janvier 1998,Saint-malo,Ille,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Ille-et-Vilaine,,Mouvement républicain populaire,,FALSE,,
2010,https://www2.assemblee-nationale.fr/sycomore/fiche/2010,Georges Coudray,2 juin 1902,Evran,Côtes,10 janvier 1998,Saint-malo,Ille,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,4 novembre 1951,1 décembre 1955,Ille-et-Vilaine,,Mouvement républicain populaire,,FALSE,,
2010,https://www2.assemblee-nationale.fr/sycomore/fiche/2010,Georges Coudray,2 juin 1902,Evran,Côtes,10 janvier 1998,Saint-malo,Ille,Assemblée nationale,Cinquième République - Assemblée nationale,Ire législature,30 novembre 1958,9 octobre 1962,Ille-et-Vilaine,,Républicains populaires et centre démocratique,,FALSE,,
2016,https://www2.assemblee-nationale.fr/sycomore/fiche/2016,Michel Couillet,28 novembre 1913,Cayeux-sur-mer,Somme,3 octobre 2004,,Lieu de décès inconnu,Assemblée nationale,Cinquième République - Assemblée nationale,IIe législature,25 novembre 1962,2 avril 1967,Somme,,Communiste,,FALSE,,
2016,https://www2.assemblee-nationale.fr/sycomore/fiche/2016,Michel Couillet,28 novembre 1913,Cayeux-sur-mer,Somme,3 octobre 2004,,Lieu de décès inconnu,Assemblée nationale,Cinquième République - Assemblée nationale,IIIe législature,12 mars 1967,30 mai 1968,Somme,,Communiste,,FALSE,,
2016,https://www2.assemblee-nationale.fr/sycomore/fiche/2016,Michel Couillet,28 novembre 1913,Cayeux-sur-mer,Somme,3 octobre 2004,,Lieu de décès inconnu,Assemblée nationale,Cinquième République - Assemblée nationale,VIe législature,19 mars 1978,22 mai 1981,Somme,,Communiste,,FALSE,,
2016,https://www2.assemblee-nationale.fr/sycomore/fiche/2016,Michel Couillet,28 novembre 1913,Cayeux-sur-mer,Somme,3 octobre 2004,,Lieu de décès inconnu,Assemblée nationale,Cinquième République - Assemblée nationale,VIIe législature,2 juillet 1981,1 avril 1986,Somme,,Communiste,,FALSE,,
2020,https://www2.assemblee-nationale.fr/sycomore/fiche/2020,"Daniel, Ouezzin Coulibaly",1 juillet 1909,Pouy,Burkina,7 septembre 1958,Paris,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,Ire législature,10 novembre 1946,4 juillet 1951,Côte-d'Ivoire,,Union républicaine et résistante,,FALSE,,
2020,https://www2.assemblee-nationale.fr/sycomore/fiche/2020,"Daniel, Ouezzin Coulibaly",1 juillet 1909,Pouy,Burkina,7 septembre 1958,Paris,Seine,Assemblée nationale,Quatrième République - Assemblée nationale,IIIe législature,2 janvier 1956,7 septembre 1958,Côte-d'Ivoire,,Union démocratique et socialiste de la Résistance et du RDA,,FALSE,,
2022,https://www2.assemblee-nationale.fr/sycomore/fiche/2022,"Pierre, Guy Coulon",28 juin 1913,Paris,Seine,6 août 1967,Le pouliguen,Loire,Assemblée nationale,Quatrième République - Assemblée nationale,IIe législature,17 juin 1951,1 décembre 1955,Allier,,Rassemblement du peuple français - ARS,RPF,TRUE,,
