elite_id,source_system,source_record_id,career_source_row,position,regime,legislature,mandat_debut,mandat_fin,departement,circonscription,groupe,groupe_abrev,is_gaulliste,status,suppleant_de,a_eu_suppleant,source_url
FR_ELITE_001065,SYCOMORE,2904,7,Député,Cinquième République - Assemblée nationale,Xe législature,1993-04-02,1997-04-21,Calvados,,Rassemblement pour la République,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/2904
FR_ELITE_001066,SYCOMORE,4969,1,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Seine,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/4969
FR_ELITE_001066,SYCOMORE,4969,2,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-25,1967-04-02,Paris,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/4969
FR_ELITE_001066,SYCOMORE,4969,3,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-30,1973-04-01,Paris,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/4969
FR_ELITE_001069,SYCOMORE,1025,1,Député,Cinquième République - Assemblée nationale,IVe législature,1971-04-22,1973-04-01,Maine-et-Loire,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/1025
FR_ELITE_001069,SYCOMORE,1025,2,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-04-02,Maine-et-Loire,,Non inscrit,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/1025
FR_ELITE_001070,SYCOMORE,603,1,Député,Quatrième République - Assemblée nationale,IIIe législature,1956-01-02,1958-12-08,Oise,,Rassemblement des gauches républicaines et du centre républicain,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
FR_ELITE_001070,SYCOMORE,603,2,Député,Cinquième République - Assemblée nationale,Ire législature,1958-11-30,1962-10-09,Oise,,Union pour la nouvelle République,UNR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
FR_ELITE_001070,SYCOMORE,603,3,Député,Cinquième République - Assemblée nationale,IIe législature,1962-11-18,1967-04-02,Oise,,Union pour la nouvelle République-UDT,UNR-UDT,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
FR_ELITE_001070,SYCOMORE,603,4,Député,Cinquième République - Assemblée nationale,IIIe législature,1967-03-05,1968-05-30,Oise,,Union démocratique pour la V° République,UD-Ve,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
FR_ELITE_001070,SYCOMORE,603,5,Député,Cinquième République - Assemblée nationale,IVe législature,1968-06-23,1973-04-01,Oise,,Union des démocrates pour la République,UDR,TRUE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
FR_ELITE_001070,SYCOMORE,603,6,Député,Cinquième République - Assemblée nationale,Ve législature,1973-04-02,1978-03-01,Oise,,Union centriste,,FALSE,député,,,https://www2.assemblee-nationale.fr/sycomore/fiche/603
